"name","target_eV","p","q","s","mass_eV","rel_error","complexity","score"
"nu3","0,05","157","114","20","0,0499947475851521","0,000105048296957649","24,2528045037457","129,301101461395"
"nu3","0,05","114","157","20","0,0499947475851521","0,000105048296957649","24,2528045037457","129,301101461395"
"nu3","0,05","157","57","21","0,0499947475851521","0,000105048296957649","24,9517745080817","130,000071465731"
"nu3","0,05","57","157","21","0,0499947475851521","0,000105048296957649","24,9517745080817","130,000071465731"
"nu3","0,05","179","200","19","0,0499891615798353","0,000216768403293183","23,5538830266439","240,322286319827"
"nu3","0,05","200","179","19","0,0499891615798353","0,000216768403293183","23,5538830266439","240,322286319827"
"nu3","0,05","100","179","20","0,0499891615798353","0,000216768403293183","24,2528530309799","241,021256324163"
"nu3","0,05","179","100","20","0,0499891615798353","0,000216768403293183","24,2528530309799","241,021256324163"
"nu3","0,05","50","179","21","0,0499891615798353","0,000216768403293183","24,9518230353159","241,720226328499"
"nu3","0,05","179","50","21","0,0499891615798353","0,000216768403293183","24,9518230353159","241,720226328499"
